Time [s],0.5mV,1mV,1.5mV,2mV,2.5mV,3mV,3.5mV,4mV,4.5mV,5mV
1,1.550960613,1.601936226,1.652911839,1.703887451,1.754863064,1.805838677,1.85681429,1.907789903,1.958765515,2.009741128
1.0001,1.564036868,1.628088736,1.692140604,1.756192473,1.820244341,1.884296209,1.948348077,2.012399945,2.076451813,2.140503681
1.0002,1.57686034,1.65373568,1.73061102,1.80748636,1.8843617,1.96123704,2.03811238,2.11498772,2.19186306,2.268738399
1.0003,1.58938042,1.67877584,1.76817126,1.85756668,1.9469621,2.03635752,2.12575294,2.215148359,2.304543779,2.393939199
1.0004,1.601547697,1.703110394,1.804673091,1.906235788,2.007798485,2.109361182,2.210923879,2.312486576,2.414049273,2.51561197
1.0005,1.613314153,1.726643305,1.839972458,1.95330161,2.066630763,2.179959916,2.293289068,2.406618221,2.519947373,2.633276526
1.0006,1.62463335,1.7492817,1.873930049,1.998578399,2.123226749,2.247875098,2.372523448,2.497171798,2.621820148,2.746468497
1.0007,1.635460617,1.770936234,1.90641185,2.041887467,2.177363084,2.312838701,2.448314318,2.583789934,2.719265551,2.854741168
1.0008,1.645753224,1.791521447,1.937289671,2.083057894,2.228826118,2.374594341,2.520362564,2.666130788,2.811899011,2.957667235
1.0009,1.65547055,1.810956099,1.966441649,2.121927198,2.277412748,2.432898298,2.588383847,2.743869397,2.899354946,3.054840496
1.001,1.664574245,1.829163491,1.993752736,2.158341981,2.322931226,2.487520472,2.652109717,2.816698962,2.981288208,3.145877453
1.0011,1.673028383,1.846071765,2.019115147,2.19215853,2.365201912,2.538245295,2.711288677,2.884332059,3.057375442,3.230418824
1.0012,1.680799596,1.861614193,2.042428789,2.223243386,2.404057982,2.584872578,2.765687175,2.946501771,3.127316367,3.308130964
1.0013,1.687857218,1.875729436,2.063601653,2.251473871,2.439346089,2.627218306,2.815090524,3.002962742,3.190834959,3.378707177
1.0014,1.694173393,1.888361787,2.08255018,2.276738573,2.470926966,2.665115359,2.859303753,3.053492146,3.247680539,3.441868932
1.0015,1.699723196,1.899461392,2.099199588,2.298937784,2.49867598,2.698414175,2.898152371,3.097890567,3.297628763,3.497366959
