"Time [s]","DATAPAIRS1.VAL []"
0,1
0.0001,1
0.0002,1
0.0003,1
0.0004,1
0.0005,1
0.0006,1
0.0007,1
0.0008,1
0.0009,1
0.001,1
0.0011,1
0.0012,1
0.0013,1
0.0014,1
0.0015,1
0.0016,1
0.0017,1
0.0018,1
0.0019,1
0.002,1
0.0021,1
0.0022,1
0.0023,1
0.0024,1
0.0025,1
0.0026,1
0.0027,1
0.0028,1
0.0029,1
0.003,1
0.0031,1
0.0032,1
0.0033,1
0.0034,1
0.0035,1
0.0036,1
0.0037,1
0.0038,1
0.0039,1
0.004,1
0.0041,1
0.0042,1
0.0043,1
0.0044,1
0.0045,1
0.0046,1
0.0047,1
0.0048,1
0.0049,1
0.005,1
0.0051,1
0.0052,1
0.0053,1
0.0054,1
0.0055,1
0.0056,1
0.0057,1
0.0058,1
0.0059,1
0.006,1
0.0061,1
0.0062,1
0.0063,1
0.0064,1
0.0065,1
0.0066,1
0.0067,1
0.0068,1
0.00690000000000001,1
0.00700000000000001,1
0.00710000000000001,1
0.00720000000000001,1
0.00730000000000001,1
0.00740000000000001,1
0.00750000000000001,1
0.00760000000000001,1
0.00770000000000001,1
0.00780000000000001,1
0.00790000000000001,1
0.00800000000000001,1
0.00810000000000001,1
0.00820000000000001,1
0.00830000000000001,1
0.0084,1
0.0085,1
0.0086,1
0.0087,1
0.0088,1
0.0089,1
0.009,1
0.0091,1
0.0092,1
0.0093,1
0.0094,1
0.0095,1
0.0096,1
0.0097,1
0.0098,1
0.0099,1
0.01,1
0.0101,1
0.0102,1
0.0103,1
0.0104,1
0.0105,1
0.0106,1
0.0107,1
0.0108,1
0.0109,1
0.011,1
0.0111,1
0.0112,1
0.0113,1
0.0114,1
0.0115,1
0.0116,1
0.0117,1
0.0118,1
0.0119,1
0.012,1
0.0121,1
0.0122,1
0.0123,1
0.0124,1
0.0125,1
0.0126,1
0.0127,1
0.0128,1
0.0129,1
0.013,1
0.0131,1
0.0132,1
0.0133,1
0.0134,1
0.0135,1
0.0136,1
0.0137,1
0.0138,1
0.0139,1
0.014,1
0.0141,1
0.0142,1
0.0143,1
0.0144,1
0.0145,1
0.0146,1
0.0147,1
0.0148,1
0.0149,1
0.015,1
0.0151,1
0.0152,1
0.0153,1
0.0154,1
0.0155,1
0.0156,1
0.0157,1
0.0158,1
0.0159,1
0.016,1
0.0161,1
0.0162,1
0.0163,1
0.0164,1
0.0165,1
0.0166,1
0.0167,1
0.0168,1
0.0169,1
0.017,1
0.0171,1
0.0172,1
0.0173,1
0.0174,1
0.0174999999999999,1
0.0175999999999999,1
0.0176999999999999,1
0.0177999999999999,1
0.0178999999999999,1
0.0179999999999999,1
0.0180999999999999,1
0.0181999999999999,1
0.0182999999999999,1
0.0183999999999999,1
0.0184999999999999,1
0.0185999999999999,1
0.0186999999999999,1
0.0187999999999999,1
0.0188999999999999,1
0.0189999999999999,1
0.0190999999999999,1
0.0191999999999999,1
0.0192999999999999,1
0.0193999999999999,1
0.0194999999999999,1
0.0195999999999999,1
0.0196999999999999,1
0.0197999999999999,1
0.0198999999999999,1
0.0199999999999999,1
0.0200999999999999,1
0.0201999999999999,1
0.0202999999999999,1
0.0203999999999999,1
0.0204999999999999,1
0.0205999999999999,1
0.0206999999999999,1
0.0207999999999999,1
0.0208999999999999,1
0.0209999999999999,1
0.0210999999999999,1
0.0211999999999999,1
0.0212999999999999,1
0.0213999999999999,1
0.0214999999999999,1
0.0215999999999999,1
0.0216999999999999,1
0.0217999999999999,1
0.0218999999999999,1
0.0219999999999999,1
0.0220999999999999,1
0.0221999999999999,1
0.0222999999999999,1
0.0223999999999999,1
0.0224999999999999,1
0.0225999999999999,1
0.0226999999999999,1
0.0227999999999999,1
0.0228999999999999,1
0.0229999999999999,1
0.0230999999999999,1
0.0231999999999999,1
0.0232999999999999,1
0.0233999999999999,1
0.0234999999999999,1
0.0235999999999999,1
0.0236999999999999,1
0.0237999999999999,1
0.0238999999999999,1
0.0239999999999999,1
0.0240999999999999,1
0.0241999999999999,1
0.0242999999999999,1
0.0243999999999999,1
0.0244999999999999,1
0.0245999999999999,1
0.0246999999999999,1
0.0247999999999999,1
0.0248999999999999,1
0.0249999999999999,1
0.0250999999999999,1
0.0251999999999999,1
0.0252999999999999,1
0.0253999999999999,1
0.0254999999999999,1
0.0255999999999999,1
0.0256999999999999,1
0.0257999999999999,1
0.0258999999999999,1
0.0259999999999999,1
0.0260999999999999,1
0.0261999999999999,1
0.0262999999999999,1
0.0263999999999999,1
0.0264999999999999,1
0.0265999999999999,1
0.0266999999999999,1
0.0267999999999999,1
0.0268999999999999,1
0.0269999999999999,1
0.0270999999999999,1
0.0271999999999999,1
0.0272999999999999,1
0.0273999999999999,1
0.0274999999999999,1
0.0275999999999999,1
0.0276999999999999,1
0.0277999999999999,1
0.0278999999999999,1
0.0279999999999999,1
0.0280999999999999,1
0.0281999999999999,1
0.0282999999999999,1
0.0283999999999999,1
0.0284999999999999,1
0.0285999999999999,1
0.0286999999999999,1
0.0287999999999999,1
0.0288999999999999,1
0.0289999999999999,1
0.0290999999999999,1
0.0291999999999999,1
0.0292999999999999,1
0.0293999999999999,1
0.0294999999999999,1
0.0295999999999999,1
0.0296999999999999,1
0.0297999999999999,1
0.0298999999999999,1
